Time, DemandHouse, DemandCar, DemandTotal, eCarSOC, costCar, price
2014-01-01T11:00, -0.684684, 0.0, -0.684684, 0.3, -0.0, 0.2, 0.0
2014-01-01T11:15, -0.692094, -0.0, -0.692094, 0.3, 0.0, 0.2, 0.0
2014-01-01T11:30, -0.704444, -0.0, -0.704444, 0.3, 0.0, 0.2, 0.0
2014-01-01T11:45, -0.72371, -0.0, -0.72371, 0.3, 0.0, 0.2, 0.0
2014-01-01T12:00, -0.74841, -0.0, -0.74841, 0.3, 0.0, 0.2, 0.0
2014-01-01T12:15, -0.774098, -0.0, -0.774098, 0.3, 0.0, 0.2, 0.0
2014-01-01T12:30, -0.793858, -0.0, -0.793858, 0.3, 0.0, 0.2, 0.0
2014-01-01T12:45, -0.801762, -0.0, -0.801762, 0.3, 0.0, 0.2, 0.0
2014-01-01T13:00, -0.79287, -0.0, -0.79287, 0.3, 0.0, 0.2, 0.0
2014-01-01T13:15, -0.771134, -0.0, -0.771134, 0.3, 0.0, 0.2, 0.0
2014-01-01T13:30, -0.741988, -0.0, -0.741988, 0.3, 0.0, 0.2, 0.0
2014-01-01T13:45, -0.71136, -0.0, -0.71136, 0.3, 0.0, 0.2, 0.0
2014-01-01T14:00, -0.683696, -0.0, -0.683696, 0.3, 0.0, 0.2, 0.0
2014-01-01T14:15, -0.659984, -0.0, -0.659984, 0.3, 0.0, 0.2, 0.0
2014-01-01T14:30, -0.639236, -0.0, -0.639236, 0.3, 0.0, 0.2, 0.0
2014-01-01T14:45, -0.620958, -0.0, -0.620958, 0.3, 0.0, 0.2, 0.0
2014-01-01T15:00, -0.604656, -0.0, -0.604656, 0.3, 0.0, 0.2, 0.0
2014-01-01T15:15, -0.590824, -0.0, -0.590824, 0.3, 0.0, 0.2, 0.0
2014-01-01T15:30, -0.579956, -0.0, -0.579956, 0.3, 0.0, 0.2, 0.0
2014-01-01T15:45, -0.571558, -0.0, -0.571558, 0.3, 0.0, 0.2, 0.0
2014-01-01T16:00, -0.566124, -0.0, -0.566124, 0.3, 0.0, 0.2, 0.0
2014-01-01T16:15, -0.564148, -0.0, -0.564148, 0.3, 0.0, 0.2, 0.0
2014-01-01T16:30, -0.566124, -0.0, -0.566124, 0.3, 0.0, 0.2, 0.0
2014-01-01T16:45, -0.571558, -0.0, -0.571558, 0.3, 0.0, 0.2, 0.0
2014-01-01T17:00, -0.580944, -0.0, -0.580944, 0.3, 0.0, 0.2, 0.0
2014-01-01T17:15, -0.594282, -0.0, -0.594282, 0.3, 0.0, 0.2, 0.0
2014-01-01T17:30, -0.612066, -0.0, -0.612066, 0.3, 0.0, 0.2, 0.0
2014-01-01T17:45, -0.633308, -0.0, -0.633308, 0.3, 0.0, 0.2, 0.0
2014-01-01T18:00, -0.658008, -0.18270270270270275, -0.8407107027027028, 0.30152252252252254, 0.05481081081081082, 0.3, 0.05481081081081082
2014-01-01T18:15, -0.686166, -0.0, -0.686166, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T18:30, -0.716794, -0.0, -0.716794, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T18:45, -0.74841, -0.0, -0.74841, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T19:00, -0.780026, -0.0, -0.780026, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T19:15, -0.809172, -0.0, -0.809172, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T19:30, -0.831402, -0.0, -0.831402, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T19:45, -0.842764, -0.0, -0.842764, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T20:00, -0.841776, -0.0, -0.841776, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T20:15, -0.831402, -0.0, -0.831402, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T20:30, -0.816582, -0.0, -0.816582, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T20:45, -0.801762, -0.0, -0.801762, 0.30152252252252254, 0.0, 0.3, 0.05481081081081082
2014-01-01T21:00, -0.790894, -0.0, -0.790894, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T21:15, -0.782496, -0.0, -0.782496, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T21:30, -0.774592, -0.0, -0.774592, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T21:45, -0.764712, -0.0, -0.764712, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T22:00, -0.750386, -0.0, -0.750386, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T22:15, -0.730626, -0.0, -0.730626, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T22:30, -0.70395, -0.0, -0.70395, 0.30152252252252254, 0.0, 0.2, 0.05481081081081082
2014-01-01T22:45, -0.670358, -0.09837837837837839, -0.7687363783783784, 0.30234234234234236, 0.01967567567567568, 0.2, 0.07448648648648651
2014-01-01T23:00, -0.628368, -0.38648648648648615, -1.0148544864864861, 0.3055630630630631, 0.0502432432432432, 0.13, 0.1247297297297297
2014-01-01T23:15, -0.58045, -0.7097297297297284, -1.2901797297297284, 0.31147747747747745, 0.0922648648648647, 0.13, 0.21699459459459441
2014-01-01T23:30, -0.529074, -1.0610810810810785, -1.5901550810810785, 0.3203198198198198, 0.1379405405405402, 0.13, 0.35493513513513464
2014-01-01T23:45, -0.47671, -1.4194594594594607, -1.8961694594594607, 0.3321486486486486, 0.1845297297297299, 0.13, 0.5394648648648646
